평점,댓글
5,원래 못보던 젊은 선생님이 새로오심. 비염이 심해져서 약받으러 갔는데 귀랑 목 상태까지 봐주고 친절하게 설명 잘 해주심. 
5,정장원선생님 정말 치료잘해주세요 저비염이랑 요즘꽃가루때문에 진짜힘들었는데  주신약이랑 치료몇번 받으니 진짜 살만해요  너무추천합니다
5,목이 너무 아파서 힘들었는데 친절하고 성의있게 진료봐주셔서 감사했습니다
5,친절해요
5,원래 못보던 젊은 선생님이 새로오심. 비염이 심해져서 약받으러 갔는데 귀랑 목 상태까지 봐주고 친절하게 설명 잘 해주심. 
5,정장원선생님 정말 치료잘해주세요 저비염이랑 요즘꽃가루때문에 진짜힘들었는데  주신약이랑 치료몇번 받으니 진짜 살만해요  너무추천합니다
5,목이 너무 아파서 힘들었는데 친절하고 성의있게 진료봐주셔서 감사했습니다
5,친절해요
5,원래 못보던 젊은 선생님이 새로오심. 비염이 심해져서 약받으러 갔는데 귀랑 목 상태까지 봐주고 친절하게 설명 잘 해주심. 
5,정장원선생님 정말 치료잘해주세요 저비염이랑 요즘꽃가루때문에 진짜힘들었는데  주신약이랑 치료몇번 받으니 진짜 살만해요  너무추천합니다
5,목이 너무 아파서 힘들었는데 친절하고 성의있게 진료봐주셔서 감사했습니다
5,친절해요
5,신속항원 받으러 첫 방문 했습니다 접수부터 검사 해주시는 선생님이 모두 너무 친절하시네요 제가 해본 가장 덜(안은 아니여요ㅠ) 아픈 검사였고 친절히 대해주시니 너무 좋은 기억으로 남네요
5,"신속항원검사-검사실 넓고 창문 다 열어놔서 환기도 잘되고, 아주 좋아요!! 검사해주시는 분도 엄청 친절하시고요~ 증상 물어보시고 목 아픈 사람들한테는 목부분 검체도 같이 하시네요~ 믿음직합니다!!! "
5,모두 친절하십니다 늦게까지 운영해서 퇴근후에도 진료받을 수 있었어요 굿!
5,검사해주시는 직원분 친절하세요.
5,생각보다 금방 진료 봤어요 후기때문에 걱정했는데 괜찮았어요
1,소중한 점심시간 쪼개서 진료받으로갔는데 느긋 느긋 다음차례라고만 몇번째인지 45분째 다음이래 ㅉㅉ 여기 갈빠에 진짜 조금 걷더라도 다른데 가세요 바쁜 직장인들 시간버리는곳 
1,의사선생님은 정말 친절한데 간호사분 기관지치료도 틀어두고 설명도 안하고 그냥 가고 처방전 물어보면 한숨쉼
1,"코로나 백신 맞으로 왔다가 1시간째 대기중.. 20명의 신속 검사자, 2명의 PCR 검사자가 오가는걸 지켜보는 백신 접종자입니다. 백신은 대테 언제 놔줄지.."
5,친절한 전화 안내 접수해주시는 직원분의 상냥한 상세설명 PCR검사 대기실은 옆방에 따로 준비 저의 콧구멍을 아프지않게 검사해주시는 선생님까지  최고입니다.. 문의 전화와 사람이 많아 엄청바빠보이시는데  직원분들도 건강하시길 바랍니다 감사합니다.
5,친절하게 자세히 진료해 주십니다. 환자가 넘 많아요.  그래서 대기시간은 좀 걸립니다. 
5,원장님이 진짜 친절하게 진료 잘해주세요. 구안와사 때문에 방문했는데 너무 자세히 알려주셔서 도움많이됬습니다.  감사합니다.
5,친절하시다
5,"다른 이비인후과가면 스윽 보고 약처방만 해주는곳 많은데, 친절한 설명에 나긋히 천천히 설명해주세요. 너무 좋아요"
5,진짜 만성외이도염 여기가 최고에요 화타신듯 5년동안 못고친거 호전시켜주셨어요 선생님도 외이도염 있으셨어서 이런저런 방법 다 시도해보시고 해주시는거라는데 그래서그런지 효과개오짐 ㅠㅜ 진심 화타십니다...
1,엉덩이주사 맞으러 들어가는데  뒤에서 간호사들끼리 '남자니까 따라들어가나봐?' 라며 낄낄대는데.... 상당히 불쾌했습니다.  하나를 보면 열을 안다고 수준미달 병원인듯하여  처방전버리고 다른병원가서 재진료 받았습니다
5,모더나 맞았는데요. 간호사님들도 너무 친절하시고 의사선생님도  설명 잘해주십니다!
5,비염때문에 방문했는데 치료받으니까 거짓말처럼 지금 멀쩡해요 ㅎㅎ 의사 선생님도 친절하셨어요! 그리고 간호사 선생님들도 너무 착하시고 재밌으셔서 무거운 분위기의 병원이 아닌 웃음이 나오던 병원이었습니다 ! 좋은 진료 봐주셔서 감사합니다 :)
5,목 이물감 때문에 너무 안나아 병원 몇군데 돌다가 평점보고 방문한 병원입니다. 처방해주신 약 먹고 점진적으로 낫더니 지금은 전혀 없습니다!! 내돈내산 짱ㅋ 머그컵도 감사합니다~
5,너무너무너무 친절하세요 감동 받았습니다
5,여기 대박이에요. 제가 특이케이스라 진단못하는 선생님도 많은데.  특이하다면서 이리저리해보고 다 고쳐주셨어요 
5,의사와 간호사가 매우 친절해요 실력도좋고 여태 다녔던 이비인후과중에는 젤 좋았음! 거리가 좀 멀어도 이젠 여기로 다닐듯~
5,친절하고 꼼꼼하게 잘해주셨어요. 머그컵 사은품으로 주신거 잘쓸게요 번창하세요
5,"항상 너무 친절하시게 대해주시는 간호사 선생님분들, 진료 잘 해주시는 원장님, 부원장님 다들 너무 감사드려요 병원 갔다 오는게 싫지 않을만큼 너무 포근하게 잘 대해주셔서 너무너무 감사합니다 다들 적게 일하고 많이 버시길,,,"
5,매년 시기마다 심한 비염이라 그냥 방치하다 또 다른 의원 다녀도 다시 재발해서 후기보고방문했습니다.   간호사분들도 기다리는동안 친절하게 잘 챙겨주셨고 진료봐주신 선생님이 시간들여서 꼼꼼히 검사 해주셨어요 !   그러다 코 안쪽이 휘어져 있다는것도 처음 진단받아서 큰맘먹고 수술치료 받았는데  처음 치료 후만 잠깐 불편하고 코로 호흡할때 정말정말 편안해서 정...
5,환절기때문인지 코와 목이 상태가 안 좋아서 집 근처 동네 이비인후과에 갔는데 차도가 없었어요. 그러다 마침 거래처 방문한 길에 지난번 왔던 병원이 생각나서 진료 받았는데 호흡기치료와  알러지주사도 맞고 원장님이 주의할 점등 자세히 설명해주셔서 좋아졌네요. 간호사분들도 변함없이 친절하세요
5,비염치료 받으려고 방문했는데 의사선생님이랑 간호사분들도 친절하게 잘 설명해주셔서 진료 잘 받고 왔어요 앞으로 이비인후과 여기만 방문하려 합니다
5,코에 관련해 진료 및 상담을 하고 왔는데 의사 선생님이 친절하게 설명해 주셔서 재 방문 예정 입니다.
4,아들이 비염으로 갑자기 찾다가발견한 병원이었는데  선생님이 설명도 잘해주시고  간호사님도 잘해주셔서 진료잘 받고 왔어요 감사해요
5,어지럼증으로 방문했는데 자세한 검사와 설명으로 치료 잘 받았습니다. 담에도 방문예정^^
5,환절기때문인지 코와 목이 상태가 안 좋아서 집 근처 동네 이비인후과에 갔는데 차도가 없었어요. 그러다 마침 거래처 방문한 길에 지난번 왔던 병원이 생각나서 진료 받았는데 호흡기치료와  알러지주사도 맞고 원장님이 주의할 점등 자세히 설명해주셔서 좋아졌네요. 간호사분들도 변함없이 친절하세요
5,비염치료 받으려고 방문했는데 의사선생님이랑 간호사분들도 친절하게 잘 설명해주셔서 진료 잘 받고 왔어요 앞으로 이비인후과 여기만 방문하려 합니다
5,코에 관련해 진료 및 상담을 하고 왔는데 의사 선생님이 친절하게 설명해 주셔서 재 방문 예정 입니다.
4,아들이 비염으로 갑자기 찾다가발견한 병원이었는데  선생님이 설명도 잘해주시고  간호사님도 잘해주셔서 진료잘 받고 왔어요 감사해요
5,어지럼증으로 방문했는데 자세한 검사와 설명으로 치료 잘 받았습니다. 담에도 방문예정^^
5,환절기때문인지 코와 목이 상태가 안 좋아서 집 근처 동네 이비인후과에 갔는데 차도가 없었어요. 그러다 마침 거래처 방문한 길에 지난번 왔던 병원이 생각나서 진료 받았는데 호흡기치료와  알러지주사도 맞고 원장님이 주의할 점등 자세히 설명해주셔서 좋아졌네요. 간호사분들도 변함없이 친절하세요
5,비염치료 받으려고 방문했는데 의사선생님이랑 간호사분들도 친절하게 잘 설명해주셔서 진료 잘 받고 왔어요 앞으로 이비인후과 여기만 방문하려 합니다
5,코에 관련해 진료 및 상담을 하고 왔는데 의사 선생님이 친절하게 설명해 주셔서 재 방문 예정 입니다.
4,아들이 비염으로 갑자기 찾다가발견한 병원이었는데  선생님이 설명도 잘해주시고  간호사님도 잘해주셔서 진료잘 받고 왔어요 감사해요
5,어지럼증으로 방문했는데 자세한 검사와 설명으로 치료 잘 받았습니다. 담에도 방문예정^^
1,일부러 찾아갔는데 수술 권하고 뜬금없이 간호사가  코성형도 같이할거냐고 해서 황당했고 수술날짜 잡으라고 몰아붙여서 당황 다른곳 두곳 진료받고 수술 필요없다는 소견 들었고 알러지 때문에 아팠던거로 치료 받고 통증 없었습니다. 
5,"원장님 너무 친절하시구, 진료도 꼼꼼하게 봐주세요."
5,선생님하고 간호사분들이 친절하셔서 멀리서  진찰 받으러 또 왔다가네요
5,"의사선생님, 간호사분들 모두모두 친절하시고 최고예요  증상도 찬찬히 잘 봐주셔서 좋았어요 :)"
5,간호사 선생님도 의사 선생님도 친절하세요!! 진료도 잘 봐주셔서 감사했습니다
5,의사쌤이 친절하셔서 갈때마다 기분 좋아지는 병원은 오랜만이에요 약간 소아과 의사쌤 재질? ㅎㅎ 저는 원장선생님께 진료 받았구요 후기중에 선생님이 맨손으로 진료 보신다고 하는데 진료 끝나시고 손 박박 씻으시더라구요 그것도 완전 정석으로 씻으세요 저번에 손 자세히 보니까 너무 자주 씻으셔서 그런가 손 피부 상태가 안 좋으시더라구요ㅠ 아무튼 손님이 넘 많아서 가...
3,"코로나 신속항원 검사 받고 왔는데, 데스크 직원분, 의사 선생님 모두 친절하세요. 근데 진료실 안내해주셨던 단발머리 직원분은.. 많이 피곤하신 건 알겠지만, 일하기 싫은신 걸 너무 티내셔서 제가 다 눈치가 보였습니다,, 결과적으로 저한테 피해를 끼치신 건 없지만 그래도 조금만 신경써주세요."
1,여기 대표원장님 코로나 시대에 너무 손위생 안 지키는 거 아니에요? 저 확진된지 지금 46일 됐는데 후유증으로 기침 가래 나와서 오늘 진료 갔는데 손에 장갑도 안 끼고 제 얼굴 만지기 전 손 소독 또 안 하고 제 코하고 입술 쪽을 손으로 만지던데 굉장히 찝찝해서요 그리고 제 코. 입 만지고도 소독을 안하고 바로 컴퓨터 하고 마우스 잡던데요? 의사로서 손위생...
1,대표원장님한테 받으려갔는데 시다의사한테 넘기고 목아파서 목보러갔더니 갑자기 코를 보겠다며 겁나 쎄게 벌리는데 콧구멍만 늘어나고 코통증만 생김. 이호땡한테 받지마세요.
5,평소에 자주 가는 병원인데 좋아요 근데 왜 전화를 받으시고 아무말 안하시는지ㅠㅠ
3,저기 전화를 받고 말씀을 안하세요 어쩌죠..?
3,"자가키트 양성 나와서 신속항원 검사 받으러 갔는데 깊이는 찌르지만 정확하지가 않아요 ㅜㅜ 신속항원 음성 나왔다길래 인후통 소견서 받고 낙성대 pcr 받으러 갔습니다. 시간이 지날 수록 고양이한테 맞은 것처럼 두통이 오길래 자가키트 했는데 또 5초만에 양성... 아마 내일 pcr 결과도 양성일 것 같네요 대기인이 너무너무 많고, 신속키트와 자가키트의 차이점이..."
5,"의사선생님 진짜 친절하시고요, 병원도 깨끗해요. 양성판정 받아서 이 병원에서 약 타서 먹는 중인데, 약 먹으면 확실히 괜찮아져요.  근데 코로나라 대기인원이 많아요.  환자분들이 많으니 요구도 많을거고, 간호사 분들도 당연하 지치실거고요. 그거에 비하면 간호사 분들도 충분히 친절하시고 응대 잘 해주세요. 아무리 시간이 오래걸려도 전 여기만 가요! 추천합니다..."
5,코로나 터진후엔 안가봐서 모르겠는데 뭐 딱히 단점은 없음. 건물 깨끗하고 장비 신식이고 안써봐서 잘 모르겠지만 굿닥 어플 사용하면 진료 예약 서비스도 가능한듯. 원장님은 친절하시고 세심하게 잘 봐주시며 간호사분들도 주사도 안아프고 빠르게 잘 놔주심.
5,모든 분들이 친절 그 자체ㅠㅠ
5,많이 기다려야했는데 기다린 보람이있네요 친절하시고 설명도 잘해주세요
5,처음 가봤는데 코에 잘빼주시고 친절하고 세심하게 봐주셔서 좋았습니다 엄청 아팠는데 하루만에 나았어요..
5,짱 친절하세요
5,그쪽 동네 원탑임 설명도 알기 쉽게 해주시고 꼼꼼히 오래 진료봐주심 강추
